Node_ID,Full_degree
2,158
786440,22
524296,73
1310729,12
10,66
524302,45
262159,41
16,7
786448,16
18,38
786447,11
262164,83
262165,38
524303,38
524307,39
524305,86
524313,34
26,33
27,90
262170,44
29,27
22,41
31,53
25,119
33,34
32,79
30,25
39,48
40,44
41,32
43,85
44,63
46,47
47,89
1310768,9
50,34
51,31
262197,92
54,43
53,10
56,90
262201,27
57,87
58,254
55,40
61,18
62,130
60,128
262203,38
65,11
66,69
67,70
70,15
71,20
1048648,21
73,85
75,38
76,995
524364,31
78,59
524367,89
80,49
524369,19
79,174
83,63
262222,19
86,103
87,50
786520,7
524377,29
786521,23
91,95
92,107
262237,23
94,57
93,105
786528,31
96,7
19,183
262243,140
100,64
101,183
786534,25
524391,86
1048679,16
99,32
106,79
107,16
262251,40
103,0
21,34
111,20
112,14
262257,1
114,37
113,73
108,40
23,43
117,1
122,78
123,82
124,59
786557,20
125,19
126,21
524416,70
129,58
130,31
131,35
262271,30
135,120
136,69
524425,27
137,91
139,72
262284,61
141,46
142,28
143,129
144,70
262289,60
146,101
786579,12
151,0
153,0
154,0
155,55
262300,10
157,110
158,126
262303,25
160,24
786590,5
162,57
163,46
164,66
262309,94
161,21
159,14
168,20
262312,66
171,2
172,91
173,64
178,52
524471,31
262331,95
189,6661
786622,14
262335,38
190,23
196,91
786629,20
524485,27
524489,51
203,62
786636,24
524492,39
1573069,0
208,50
262353,22
524497,40
1048788,17
213,29
262360,144
786653,22
524511,48
786659,46
524517,27
236,16
238,60
262384,16
241,33
786673,17
786678,26
254,83
786688,51
786690,1
259,12
263,111
786698,6
524555,111
268,88
270,75
262415,22
276,48
279,44
524567,45
283,98
284,31
786717,0
285,36
524576,51
524577,118
524583,27
300,36
301,55
302,33
303,7
786736,70
305,12
524593,27
1573171,8
524596,17
262453,77
310,170
313,22
524605,14
786751,11
786752,6
786753,14
786754,23
786759,11
786760,30
524617,58
786766,18
786767,19
262484,40
786774,13
262504,41
262509,34
524653,15
786800,29
376,6
378,47
786811,16
786819,0
388,29
524675,74
1048964,3
392,107
524680,46
524682,37
524686,78
786835,22
786843,8
415,20
416,61
417,42
419,34
423,39
424,64
425,17
426,45
427,0
428,22
430,47
431,74
432,34
524723,131
262581,21
262583,1
262584,79
524735,13
448,11
449,76
450,56
451,47
524738,4
453,47
454,91
455,21
456,123
457,46
90,66
459,45
460,86
461,26
462,21
458,136
464,25
465,95
466,5
467,20
262608,94
473,85
475,43
480,76
483,227
484,118
485,132
487,51
786920,20
488,14
262634,150
262635,61
490,130
262637,36
496,73
497,83
262641,32
503,42
505,87
506,101
507,128
511,69
512,83
513,39
514,101
515,36
516,49
520,20
524808,1
524809,14
526,66
524815,65
262673,9
262674,17
531,40
532,67
105,10
534,88
535,29
530,131
538,165
786972,6
786973,18
542,36
262687,106
544,82
786977,43
262691,21
547,71
549,59
550,92
553,71
554,16
555,131
524841,233
558,112
559,99
786993,12
562,26
564,49
1573431,2
570,73
571,42
572,28
573,93
574,86
787007,8
787008,29
577,49
787010,16
579,91
524868,19
581,76
582,84
580,68
576,55
585,242
584,25
587,24
588,51
589,31
590,32
593,51
594,119
595,117
787028,15
598,111
599,23
262746,36
262747,70
605,70
606,31
609,66
610,42
1049188,37
612,25
613,62
616,36
787049,15
617,69
619,160
623,41
524915,10
628,149
262773,30
524917,16
262780,38
262781,47
262782,63
639,11
636,0
640,24
642,73
643,25
524926,0
787079,101
649,133
650,67
