Node_ID,Full_degree
1652,55
2124,55
1644,55
7591,101
5,14
10051,183
2734,20
8911,46
9,35
8905,111
1913,57
8212,62
13,19
9687,44
8112,19
9201,20
3502,83
2152,6
7888,53
5493,37
21,34
8885,164
23,43
9438,27
3977,206
9594,26
27,90
7744,21
1499,19
3454,12
5344,102
3912,149
33,34
34,84
1054,32
8243,55
37,16
8785,21
8362,162
5564,21
2044,35
8552,14
4010,71
5783,41
4731,33
3221,20
4339,31
7071,20
3050,35
4959,20
51,31
52,21
53,10
54,43
55,40
56,90
57,87
58,254
59,84
60,128
61,18
62,130
63,53
64,78
65,11
66,69
67,70
68,71
69,25
70,15
71,20
72,25
73,85
74,29
75,38
76,995
77,26
78,59
79,174
80,49
81,18
82,13
83,63
84,25
85,17
86,103
87,50
88,28
89,45
90,66
91,95
92,107
93,105
94,57
95,68
96,7
97,23
98,31
99,32
100,64
101,183
102,83
105,10
106,79
107,16
108,40
109,26
110,10
111,20
112,14
113,73
114,37
115,71
116,42
117,1
118,2
119,36
120,10
122,78
123,82
124,59
125,19
126,21
127,44
128,38
129,58
130,31
131,35
133,51
134,22
135,120
136,69
137,91
138,6
139,72
140,27
141,46
142,28
143,129
144,70
145,25
146,101
147,35
148,48
149,5
150,2
152,8
155,55
156,38
157,110
158,126
159,14
160,24
161,21
162,57
163,46
164,66
165,82
166,61
167,26
168,20
169,6
170,8
171,2
172,91
173,64
174,61
175,10
176,13
177,10
178,52
179,24
180,33
181,19
182,14
183,36
184,8
185,35
186,37
188,4
189,6661
190,23
191,6
192,64
193,10
194,21
195,60
196,91
197,34
198,9
199,45
200,44
201,55
202,34
203,62
204,99
205,25
206,13
207,78
208,50
209,33
210,46
211,12
212,48
213,29
214,20
215,23
216,61
217,60
218,62
219,49
220,50
221,9
222,73
223,3
224,241
225,86
226,36
227,15
228,61
229,125
230,99
231,64
232,46
234,39
235,105
236,16
237,30
238,60
239,24
240,26
241,33
242,96
243,60
244,13
245,13
246,12
247,19
248,19
249,27
250,20
251,20
252,59
253,86
254,83
255,30
256,38
257,112
258,57
259,12
260,9
261,17
262,13
263,111
264,14
265,55
266,27
267,19
268,88
269,47
270,75
271,54
272,35
273,26
274,33
275,20
276,48
277,74
278,40
279,44
280,52
281,15
282,24
283,98
284,31
285,36
286,20
287,8
288,107
289,144
290,24
291,53
292,40
293,66
294,39
295,10
297,9
300,36
301,55
302,33
303,7
304,34
305,12
306,21
307,24
308,179
309,33
310,170
311,52
312,47
313,22
314,45
315,123
316,16
317,121
318,97
319,34
320,29
321,7
